T04n0192_p0001a01_##<mj>
T04n0192_p0001a02N##No. 192
T04n0192_p0001a03J##[01]佛所行讚卷第一[02](亦云佛本行經)
T04n0192_p0001a04_##
T04n0192_p0001a05A##[03]馬鳴菩薩[04]造
T04n0192_p0001a06Y##北涼天竺三藏曇無讖譯
T04n0192_p0001a07D##[05]生品第一
T04n0192_p0001a08S##　甘蔗之苗裔，　　釋迦無勝王，
T04n0200_p0243c02_##民，咸皆聞知。又於一時，聞僧坊中有好銅
T04n0200_p0243c03_##瓨，[33]規欲盜取，即便與諸行人，入於僧坊，
T04n0200_p0243c04_##欲盜取瓨，竟不獲得；聞諸比丘說一四句
T04n0200_p0243c05_##偈，論說諸天眼眴極遲、世人速疾。時彼偷人，
T04n0200_p0243c06_##聞是語已，憶在心懷，尋即出去。於其彼時，
T04n0200_p0243c07_##有諸商客，從他邦來，持一上價摩尼寶珠，
T04n0200_p0243c08_##奉獻上王。王得珠已，尋即遣人，繫著塔頭。
T04n0200_p0243c09_##時彼偷人，聞王繫珠著塔[34]棖頭，密在心懷，
T04n0200_p0243c10_##即便偷取，匿而不出。時王聞已塔[＊]棖失珠，
T04n0200_p0243c11_##生大瞋恚，即募國中：「設有見者，密來[乳-孚+糸][35]語，
T04n0200_p0243c12_##我當重賞。」遂致數時，無敢應募。時王怨禱，
T04n0200_p0243c13_##無以為計。時有智臣，啟白王言：「今王境[36]
T04n0200_p0243c14_##都，豐樂無極，盜者甚少，唯此一人偷盜為業，
T04n0200_p0243c15_##以用自活，舉國聞知。今此寶珠，必是彼人，見
T04n0200_p0243c16_##為偷取。今若繫縛，[榜>搒]笞鞭打，必不肯首。王
T04n0200_p0243c17_##當設計，策謀彼人為當虛實？」王問智臣：
T04n0200_p0243c18_##「當設何計？」智臣答曰：「密遣餘人，請喚偷人，
T04n0200_p0243c19_##各勸酒食，極令使醉，輿著殿上，密使不覺。
T04n0200_p0243c20_##莊嚴殿堂，及諸伎女，極令[37]殊妙，作眾音樂，
T04n0200_p0243c21_##以娛樂之。偷人於是必當驚覺。[束*力]諸伎女，
T04n0200_p0243c22_##[38]普各語言：『以汝閻浮提中偷塔[＊]棖頭珠
T04n0200_p0243c23_##故，今得生此忉利天上，我諸伎女作[39]唱音
T04n0200_p0243c24_##樂，共侍衛汝。汝實爾不？』」時彼偷人，[夢-夕+登]瞢故
T04n0200_p0244a01_##醉，正欲道實，恐畏不是；正欲不道，復為
T04n0200_p0244a02_##諸女逼切使語。時彼偷人，卒自憶念：「我昔
T04n0200_p0244a03_##曾聞沙門所說講論，諸天眼眴極遲，世人速
T04n0200_p0244a04_##疾，今者伎女眴皆速疾，必非是天。」尋即低
T04n0200_p0244a05_##頭而不肯道。於是未久，便得醒悟，官不
T04n0200_p0244a06_##問罪，脫得不死。時彼智臣，復更白王：「當
T04n0200_p0244a07_##更設計策謀偷人。」王復問言：「以何策謀？」智
T04n0200_p0244a08_##臣答曰：「王可詐親，喚彼偷人，賜為大臣，一
T04n0200_p0244a09_##切庫藏，密計頭數，悉委付之。於其後時王
T04n0200_p0244a10_##可軟語：『今者更無如卿所親，好守庫藏，無
T04n0200_p0244a11_##令失脫。』偷人聞已，必懷歡喜。王可徐問：『我
T04n0200_p0244a12_##前所著摩尼寶珠，繫塔棖者，卿為知不？』其
T04n0200_p0244a13_##偷人者，必當首實。何以知之？今者為王，所
T04n0200_p0244a14_##見貴重，一切財寶見為任信，必向王首。」時
T04n0200_p0244a15_##波斯匿王，如臣所道，設計[＊]規[01]略。於是偷
T04n0200_p0244a16_##人，如智臣語，向王首實：「此寶珠者，奴實盜
T04n0200_p0244a17_##取，畏不敢出。」王復問言：「卿前醉臥，在我殿
T04n0200_p0244a18_##上，諸女詰問。汝在天上，以何不首？」偷臣白
T04n0200_p0244a19_##言：「我昔曾入僧坊之中，聞諸比丘講四句
T04n0200_p0244a20_##偈，云道諸天眼[02]瞬極遲，世人速疾。尋自憶
T04n0200_p0244a21_##念，是故知非生在天上，以是不首。」於是
T04n0200_p0244a22_##波斯匿王還得寶珠，甚懷歡喜，不問偷臣
T04n0200_p0244a23_##所作罪咎。時彼偷臣，既得脫已，前白王言：
T04n0200_p0244a24_##「願恕罪咎，聽奴出家。」王告偷臣：「汝今尊榮，
T04n0200_p0244a25_##富貴快樂，極可正爾；今以何故，必欲出家？」
T04n0200_p0244a26_##偷臣白王：「由我曾聞沙門所說一四句偈，脫
T04n0200_p0244a27_##得不死，如是厄難；況復多聞讀誦修習，如
T04n0200_p0244a28_##說修行，必獲大利。是故今者，願欲出家。」精
T04n0200_p0244a29_##懃修習，得阿羅漢果，三明六通，具八解脫，
T04n0200_p0244b01_##諸天世人，所見敬仰。<p>爾時諸比丘，聞佛所
T04n0200_p0244b02_##說，歡喜奉行。
T04n0200_p0244b03j##[03]撰集百緣經卷第八
T04n0200_p0244b04_##<mj>
T04n0200_p0244b05_##
T04n0200_p0244b06J##撰集百緣經卷第九
T04n0200_p0244b07_##
T04n0200_p0244b08Y##吳月支優婆塞支謙譯
T04n0200_p0244b09D##聲聞品第九
T04n0200_p0244b10Q##（八一）◎[04]海生商[05]主[06]緣
T04n0200_p0244b11P##[07]佛在舍衛國祇樹給孤獨園。時彼城中，有
T04n0200_p0244b12_##五百賈客，欲入大海採取珍寶。時彼商主，
T04n0200_p0244b13_##[08]選擇族望，娉以為婦。將[09]共入海，足滿十
T04n0200_p0244b14_##月，產一男兒，因為立字，名曰海生。有大福
T04n0200_p0244b15_##德，令諸商[10]客，獲大珍寶，安隱迴還，[11]咸共
T04n0200_p0244b16_##唱言：「安隱海生。」年漸長大，重復勸勉，更入
T04n0200_p0244b17_##大海，獲其珍寶，進引還來。值大黑風，吹其
T04n0200_p0244b18_##船舫，[12]飄墮羅剎[13]鬼國，迴波黑風。時諸商
T04n0200_p0244b19_##人，各各[14]跪拜諸天善神，無一感應[15]救彼
T04n0200_p0244b20_##厄難。中有優婆塞，語商人言：「有佛世尊，常
T04n0200_p0244b21_##以大悲，晝夜六時，觀察眾生，[16]護受苦
T04n0200_p0244b22_##厄，[車*取]往度之。汝等咸當稱彼佛名，[17]或能
T04n0200_p0244b23_##來此，救我等命。」時諸商人，各共同時，稱南
T04n0200_p0244b24_##無佛陀。爾時世尊，遙見商[18]客極遇厄難，即
T04n0200_p0244b25_##放光明，照[19]耀黑風，風尋消滅。皆得解脫，
T04n0200_p0244b26_##各作是言：「我等今者，蒙佛威光，脫此諸難，
T04n0200_p0244b27_##[20]今若平安達到，當為佛僧造立塔寺，[21]請
T04n0200_p0244b28_##命佛僧，安置其中，設諸餚[飢-几+善]，供給所須，皆
T04n0200_p0244b29_##使無乏。」作是語已，咸皆然可。於是進引，
T04n0200_p0244c01_##皆悉平安達到鄉土。如先言要，造立塔寺，
T04n0200_p0244c02_##[22]請命佛僧，設諸餚[飢-几+善]，[23]供養訖竟，[去*ㄗ]坐一
T04n0200_p0244c03_##面，聽佛說法，心開意解，各獲道[24]跡，即於
T04n0200_p0244c04_##佛前，求索出家。[25]佛即告言：「善來比丘！」鬚髮
T04n0200_p0244c05_##自落，法服著身，便成沙門。精懃修習，得
T04n0200_p0244c06_##[＊]阿羅漢果，[26]三明六通，具八解脫，諸天世
T04n0200_p0244c07_##人，所見敬仰。<p>時諸比丘，[＊]見是事已，[＊]前
T04n0200_p0244c08_##白佛言：「[＊]不審，世尊！今此商人五百比丘，宿
T04n0200_p0244c09_##造何業，[27]遭值如是種種厄難，蒙佛威光，
T04n0200_p0244c10_##得脫諸難，又值世尊，出家得道？」佛告比丘：
T04n0200_p0244c11_##「非但今日救彼厄難，過去世時，我亦救彼
T04n0200_p0244c12_##[28]脫諸厄難。」<p>時諸比丘，重白佛言：「[＊]不審，世
T04n0200_p0244c13_##尊！過去世時，其事云何？[29]唯願世尊！敷演解
T04n0200_p0244c14_##說。」[＊]爾時[＊]世尊，告諸比丘：「[＊]汝等諦聽！吾當
T04n0200_p0244c15_##為汝分別解說。乃往過去無量世中，波羅[木*奈]
T04n0200_p0244c16_##國，有五通仙人，住河岸邊。時有五百商人，
T04n0200_p0244c17_##欲入大海，[30]路由河岸，見彼仙人，各共
T04n0200_p0244c18_##往彼問訊[31]安吉，勸彼仙人，令共入海。仙
T04n0200_p0244c19_##人答言：『汝等自去，設有恐難，但稱我名，當
T04n0200_p0244c20_##護汝等。』[＊]爾時商人，聞是語已，進引入海，
T04n0200_p0244c21_##大獲珍寶，[32]還欲來歸，道逢羅剎黑風諸難。
T04n0200_p0244c22_##[＊]爾時[33]商人，咸共一心，稱仙人名，即往救護
T04n0200_p0244c23_##脫諸厄難。」佛告諸比丘：「欲知[34]爾時彼仙人
T04n0200_p0244c24_##者，則我身是；彼時五百商[35]人者，今五百比丘
T04n0200_p0244c25_##是。我於彼時，未斷煩惱，尚能拔濟彼諸厄
T04n0200_p0245a01_##難；況於今者，得出三界，而當不能化度
T04n0200_p0245a02_##彼也？」<p>[＊]爾時諸比丘，[＊]聞佛所說，歡喜奉行。
T04n0200_p0245a03Q##（八二）[01]須[02]曼花衣隨身產[03]緣
T04n0200_p0245a04P##[＊]佛在舍衛國祇樹給孤獨園。時彼城中，有一
T04n0200_p0245a05_##長者，財寶無量，[＊]不可稱計，選擇高門，娉
T04n0200_p0245a06_##以為婦，種種音樂，以娛樂[04]之。足滿十月，
T04n0200_p0245a07_##產一男兒，端[＊]政殊[＊]妙，須[05]曼花衣，與身俱
T04n0200_p0245a08_##生。召諸相師，占相此兒。相師[06][者*見][07]已：「此兒
T04n0200_p0245a09_##[08]產時，有何瑞相？」父母答言：「有須[＊]曼花衣
T04n0200_p0245a10_##[09]裹身而生。」因為立字，名[＊]須[＊]曼那。體性賢
T04n0200_p0245a11_##柔，慈心孝順。年漸長大，衣亦隨大。父母[10]愛
T04n0200_p0245a12_##念，便將小兒，與阿那律，令作沙彌，教使
T04n0200_p0245a13_##坐禪。未久之間，得[11]阿羅漢果，三明六通，
T04n0200_p0245a14_##具八解脫，[12]諸天世人，所見敬仰。時阿那
T04n0200_p0245a15_##[13]律[束*力]沙彌言：「汝今可往[14]拔提河邊取淨
T04n0200_p0245a16_##水來。」尋往彼河，盛滿瓶水，擲虛空中，隨後
T04n0200_p0245a17_##飛來。<p>時諸比丘，見是沙彌，歎未曾有，白佛
T04n0200_p0245a18_##言：「[＊]世尊！今此須[15]摩那沙彌，宿[＊]殖何福，生
T04n0200_p0245a19_##[16]巨富家，須[＊]摩那[17]衣隨身俱生；出家未久，
T04n0200_p0245a20_##獲[＊]阿羅漢果？」[＊]爾時[18]世尊告諸比丘：「[＊]汝
T04n0200_p0245a21_##等[19]善聽！吾當為汝分別解說。乃往過去九
T04n0200_p0245a22_##十一劫，波羅[木*奈]國，有佛出世，號毘婆尸，教
T04n0200_p0245a23_##化周訖，遷神涅槃。時有國王，名梵摩達多，
T04n0200_p0245a24_##收[20]其舍利，造四寶塔，而供養之。時有童
T04n0200_p0245a25_##子，見彼塔故，心生欣樂，即[21]便出家，年至
T04n0200_p0245a26_##老耄，空無所獲，[22]深自剋[23]嘖，買須[＊]曼花，
T04n0200_p0245a27_##持縷貫之，遍覆塔上，[24]發願[25]而去。緣是功
T04n0200_p0245a28_##德，九十一劫，不墮[＊]地獄、畜生、餓鬼，天上人
T04n0200_p0245a29_##中，常有須[＊]曼花衣與身俱[26]生，受天快樂，
T04n0200_p0245b01_##乃至今者，遭值於我，出家得道。」<p>[＊]爾時諸比
T04n0200_p0245b02_##丘，[＊]聞佛所說，歡喜奉行。
T04n0200_p0245b03Q##（八三）◎[27]寶手比丘[28]緣
T04n0200_p0245b04P##[＊]佛在舍衛國祇樹給孤獨園。時彼城中，有
T04n0200_p0245b05_##一長者，財寶無量，[＊]選擇族望，娉以為婦，
T04n0200_p0245b06_##作[29]倡伎樂，以娛樂之。其婦懷[＊]妊，足滿十
T04n0200_p0245b07_##月，產一男兒，端[＊]政殊妙，世所希有，其[30]兩
T04n0200_p0245b08_##手中，有金錢出，取已還有，如是展轉，取不
T04n0200_p0245b09_##可盡。[31]召諸相師，占相此兒。相師[者*見]已：「此
T04n0200_p0245b10_##兒[＊]產時，有何瑞相？」父母答言：「其兩手中，有
T04n0200_p0245b11_##金錢出，取以還生。」因為立字，名曰[＊]寶手。
T04n0200_p0245b12_##年漸長大，[32]稟性賢柔，慈心孝順，好[熹>[喜/心]]惠施，
T04n0200_p0245b13_##有從乞者，[33]申其[＊]兩手，有好金錢，尋以施[34]
T04n0200_p0245b14_##之。將諸親友出城[35]觀看，漸次遊行[36]到祇
T04n0200_p0245b15_##洹中，見佛世尊，[＊]三十二相、八十種好，光明[37]
T04n0200_p0245b16_##普曜，如百千日，心懷[喜/心]悅，前禮佛足，合掌
T04n0200_p0245b17_##請佛及比丘僧：「慈哀憐愍納受我供。」時彼阿
T04n0200_p0245b18_##難，[38]在佛左右，問小兒言：「若欲設供，當須
T04n0200_p0245b19_##財寶。」於是小兒聞阿難語，尋[＊]申[＊]兩手，金
T04n0200_p0245b20_##錢雨落，須臾積聚。佛[束*力]阿難：「汝[39]今取此金
T04n0200_p0245b21_##錢寶物，營理餚[飢-几+善]，請佛及僧。」阿難受教，營
T04n0200_p0245b22_##理飲食。[40]供養[41]訖竟，佛為說法，心開意解，
T04n0200_p0245b23_##得須陀洹果。歸白父母，求索入道。父母愛
T04n0200_p0245b24_##念，不能違逆，將詣佛所，求索出家。[42]佛即
T04n0200_p0245b25_##告言：「善來比丘！」鬚髮自落，法服著身，便成
T04n0200_p0245b26_##沙門。精懃修習，得[＊]阿羅漢果，三明六通，
T04n0200_p0245b27_##[43]具八解脫，諸天世人，所見敬仰。<p>[＊]爾時阿
T04n0200_p0245b28_##難，[＊]見是事已，前白佛言：「今此寶手比丘，
T04n0200_p0245b29_##宿[＊]殖何[44]福，生[45]於豪族大長者家，然其[＊]兩
T04n0200_p0245c01_##手，[46]有此金錢，[47]取以還生；值佛世尊，復
T04n0200_p0245c02_##獲道果？」[＊]爾時[＊]世尊，告阿難言：「[＊]汝今諦
T04n0200_p0245c03_##聽！吾當為汝分別解說。[48]此賢劫中，波羅
T04n0200_p0245c04_##[＊][木*奈]國有佛出世，號曰迦葉，教化周訖，遷神
T04n0200_p0245c05_##涅槃。時彼國王，名曰[49]迦翅，收[50]取舍利，造
T04n0200_p0245c06_##四寶[51]塔。時有長者，見其[52][豎-豆+立][53]棖，心生隨
T04n0200_p0245c07_##喜，[54]持一金錢，安置棖下，發願而去。緣是
T04n0200_p0245c08_##功德，不墮惡趣，天上人中，常有金錢[＊]申
T04n0200_p0245c09_##手而出，乃至今者，遭值於我，[55]故有金錢，取
T04n0200_p0245c10_##[56]以還有，出家得道。」<p>[＊]爾時諸比丘，[＊]聞佛所
T04n0200_p0245c11_##說歡喜奉行。
T04n0200_p0245c12Q##（八四）◎[57]三藏比丘[58]緣
T04n0200_p0245c13P##佛在舍衛國祇樹給孤獨園。時波斯匿王夫
T04n0200_p0245c14_##人懷[＊]妊，足滿十月，生一男兒，端[＊]政殊[59]妙，
T04n0200_p0245c15_##世所希有，身被袈裟，生已能語，問父[60]王
T04n0200_p0245c16_##言：「如來世尊，今者在不？大德迦葉、舍利弗、
T04n0200_p0245c17_##大目揵連，[61]如是遍問諸大弟子，悉為在不」
T04n0200_p0245c18_##父王答曰：「今悉[62]都在。」「唯願大王！為我設供，
T04n0200_p0245c19_##請佛及僧。」尋[束*力]為設，請佛入宮，見其太子，
T04n0200_p0245c20_##而問之曰：「汝[63]自憶念迦葉佛時，是三藏比
T04n0200_p0246a01_##丘不？」答言：「實是。」「處此胞胎，為安隱不？」「[01]蒙
T04n0200_p0246a02_##佛[02]遺恩，得存性命，得過[03]日夕。」時王夫人，
T04n0200_p0246a03_##見此太子與佛世尊共相[04]答問，喜不自
T04n0200_p0246a04_##勝，而白佛言：「今此太子，宿[＊]殖何福，生便能
T04n0200_p0246a05_##語，乃能與佛[05]感有[06]答問？[07]唯願世尊！敷演
T04n0200_p0246a06_##解說。」爾時世尊，即便為王，而說偈言：
T04n0200_p0246a07S##「宿造諸善業，　　百劫而不朽，
T04n0200_p0246a08s##　善業因緣故，　　今獲如是報。」
T04n0200_p0246a09P##是[08]時波斯匿王及[09]其夫人，聞[10]佛世尊說
T04n0200_p0246a10_##此偈已，[11]前白佛言：「[12]不審，世尊！過去世時其
T04n0200_p0246a11_##事云何？[13]唯願世尊！敷演解說。」[＊]爾時[＊]世尊，
T04n0200_p0246a12_##告大王[14]曰：「[15]汝今諦聽！吾當為汝分別解
T04n0200_p0246a13_##說。此賢劫中，波羅[木*奈]國有佛出世，號曰迦
T04n0200_p0246a14_##葉，將諸比丘，[16]遊行教化，到迦翅王國。時王
T04n0200_p0246a15_##太子，名曰善生，見佛世尊，深生信敬，歸白
T04n0200_p0246a16_##[17]大王，求索入道。王不聽[18]許：『我唯一子，
T04n0200_p0246a17_##當繼王位，養育民眾，終不聽汝出家入道。』
T04n0200_p0246a18_##時王太子，聞[19]是語已，愁[20]悴[跳-兆+辟]地，斷[21]穀不
T04n0200_p0246a19_##食，一日二日[22]乃至六日，絕不飲食。時諸群
T04n0200_p0246a20_##臣，[23]啟白王言：『太子不食，已經六日，恐命
T04n0200_p0246a21_##不全。願王今者，聽使出家，故得相見。』時彼
T04n0200_p0246a22_##大王聞臣語已，不能違逆，[束*力]彼太子：『[24]共
T04n0200_p0246a23_##作要誓，汝今若能讀誦三藏經書通利，聽
T04n0200_p0246a24_##汝出家，然後見我。』時彼太子聞王[束*力]已，心
T04n0200_p0246a25_##懷[25]喜悅，尋即出家，懃加誦習三藏經書，盡
T04n0200_p0246a26_##令通利，還來見王。王問比丘：『我先[束*力]汝，要
T04n0200_p0246a27_##誦三藏經書通利，然後見我。今為利不？』比
T04n0200_p0246a28_##丘答曰：『今悉通利。』王大歡喜，即語比丘：『我
T04n0200_p0246a29_##今庫藏，所有財物，隨汝取用，終不[怡-台+吝]惜。』於
T04n0200_p0246b01_##時[26]王子比丘聞王教已，大取財物，施設
T04n0200_p0246b02_##種種百味[27]餚[飢-几+善]，請迦葉佛及二萬比丘，供
T04n0200_p0246b03_##養訖已，一一比丘各施三衣[28]六物。緣是功
T04n0200_p0246b04_##德，不墮惡[29]趣，天上人中，常有袈裟裹身
T04n0200_p0246b05_##而生，乃至今者，遭值於我，[30]故有袈裟，出家
T04n0200_p0246b06_##得道。」<p>[＊]爾時諸比丘，[＊]聞佛所說，歡喜奉行。
T04n0200_p0246b07Q##（八五）◎[31]耶[32]舍蜜多[33]緣
T04n0200_p0246b08P##[＊]佛在舍衛國祇樹給孤獨園。時彼城中有
T04n0200_p0246b09_##一長者，財寶無量，[34]不可稱計，選擇族望，娉
T04n0200_p0246b10_##以為婦，作倡伎樂，以娛樂之。其婦懷[＊]妊，
T04n0200_p0246b11_##足滿十月，生一男兒，端[＊]政殊[35]妙，世所希
T04n0200_p0246b12_##有。當[36]生之[37]日，天降[38]大雨，父母歡喜，[39]召
T04n0200_p0246b13_##諸相師，占相此兒。相師[者*見]已：「此兒福德，生
T04n0200_p0246b14_##則降雨。」舉國聞知，因為立字，名[＊]耶奢蜜
T04n0200_p0246b15_##多。不飲乳[40]哺，其牙齒間，自然而有八功德
T04n0200_p0246b16_##水，用自充足。年漸長大，與諸親友[41]遊行觀
T04n0200_p0246b17_##看，到祇[42]桓中，見佛世尊，[＊]三十二相、八十
T04n0200_p0246b18_##種好，光明[43]普曜，如百千日，心懷歡喜，前
T04n0200_p0246b19_##禮佛足，求索出家。[44]佛即聽許：「善來比丘！」鬚
T04n0200_p0246b20_##髮自落，法服著身，便成沙門。精懃修習，得
T04n0200_p0246b21_##[＊]阿羅漢果，[45]三明六通，具八解脫，諸天世人
T04n0200_p0246b22_##所見敬仰。<p>時諸比丘[＊]見是事已，白佛言：
T04n0200_p0246b23_##「[46]世尊！今此耶奢比丘，宿[＊]殖何福，[47]生降甘
T04n0200_p0246b24_##雨，不飲乳哺，其牙齒間，自然而有八功德
T04n0200_p0246b25_##水，以自充足；又值世尊，出家得道？」[＊]爾時
T04n0200_p0246b26_##[＊]世尊，告諸比丘：「[＊]汝等善聽！吾當為汝分別
T04n0200_p0246b27_##解說。[48]此賢劫中，波羅[＊][木*奈]國有佛出世，號
T04n0200_p0246b28_##曰迦葉。於彼法中，有一長者，年[49]齒老耄，
T04n0200_p0246b29_##出家入道，[50]懈慢懶墮，不能精懃，又復重
T04n0200_p0246c01_##[51]病。良醫占[52]之，云當服[53]酥，病乃可[54]差。尋
T04n0200_p0246c02_##用醫教，取[55]酥服之。於其夜中，[56]藥發熱渴，
T04n0200_p0246c03_##馳走求水，水器皆空。復趣泉[57]池，皆亦枯竭，
T04n0200_p0246c04_##至趣河中，河亦枯竭，如是處處，求水不得。
T04n0200_p0246c05_##深自悔[58]責，於彼河岸，脫衣繫樹，捨之還
T04n0200_p0246c06_##來，至其明旦，以狀白師，師聞是語，即答
T04n0200_p0246c07_##之言：『汝遭此苦，狀似餓鬼，汝今可取我瓶
T04n0200_p0246c08_##中水[59]至僧中行。』即受師教，取瓶[60]行水。[61]
T04n0200_p0246c09_##水盡涸竭，心懷憂怖，謂其命終，[62]恐墮餓鬼，
T04n0200_p0246c10_##尋詣佛所，[63]具陳上事，而白世尊：『我遭此
T04n0200_p0246c11_##厄，甚為惶怖，恐墮餓鬼。唯願世尊！大慈憐
T04n0200_p0246c12_##愍，[64]幸為見示。』佛告比丘：『汝今當於眾僧之
T04n0200_p0246c13_##中行好淨水，可得脫此餓鬼之身。』時彼比
T04n0200_p0246c14_##丘聞佛教已，心懷[65]喜悅，即便僧中常[66]行
T04n0200_p0246c15_##淨水。[67]經二萬歲，即便命終。在所生處，其牙
T04n0200_p0246c16_##齒間，常有清淨八功德水，自用充足，不飲
T04n0200_p0246c17_##乳[＊]哺，乃至今[68]者，遭值[69]於我，出家得道。」佛
T04n0200_p0246c18_##告諸比丘：「欲知彼時老耄比丘，今此耶奢
T04n0200_p0246c19_##蜜多是。」<p>[＊]爾時諸比丘，[＊]聞佛所說，歡喜奉行。
T04n0200_p0246c20Q##（八六）◎[70]化生比丘[71]緣
T04n0200_p0247a01P##爾時[＊]世尊，在忉利天上波利質多羅樹下寶
T04n0200_p0247a02_##石殿上，安居三月，為母摩耶說法訖竟，欲
T04n0200_p0247a03_##還來下至[01]閻浮提。[＊]爾時釋提桓因，知佛欲
T04n0200_p0247a04_##下，[束*力]諸天、龍、夜叉、乾闥婆、阿修羅、迦樓羅、緊
T04n0200_p0247a05_##那羅、摩[目*侯]羅伽、究槃[02]荼等，為佛造作三道
T04n0200_p0247a06_##寶[03]梯。佛從天下，[04]寶梯兩邊，有無量百千
T04n0200_p0247a07_##萬億諸天龍夜叉人非人等，見佛如來從天
T04n0200_p0247a08_##上下，莫不歡喜，[05]渴仰聞法。[＊]爾時[＊]世尊，
T04n0200_p0247a09_##觀諸大眾善根已熟，即為說法，心開意解，
T04n0200_p0247a10_##有得須陀洹[06]者、斯陀含者、阿那含者、阿羅
T04n0200_p0247a11_##漢者，有發辟支佛心者，有發無上菩提心
T04n0200_p0247a12_##者。時彼會中，忽然有一化生比丘，告諸大
T04n0200_p0247a13_##眾：「[07]汝等今者各受我請，餚[飢-几+善]飲食，百種所
T04n0200_p0247a14_##須，我悉能與。」作是語已，[08]時諸大眾，各各自
T04n0200_p0247a15_##念，諸天寶器，百味飲食；皆悉獲得，充足飽
T04n0200_p0247a16_##滿。<p>[＊]爾時阿難，[＊]見是事已，前白佛言：「今此
T04n0200_p0247a17_##化生比丘，宿[＊]殖何福，今者乃能使此大眾，
T04n0200_p0247a18_##充足飽滿？[＊]不審，世尊！其事云何？」[＊]爾時[＊]世
T04n0200_p0247a19_##尊，告阿難言：「汝[＊]今諦聽！吾當為汝分別
T04n0200_p0247a20_##解說。乃往過去九十一劫，波羅[＊][木*奈]國有佛
T04n0200_p0247a21_##出世，號毘婆尸。於彼法中，有諸比丘，夏坐
T04n0200_p0247a22_##三月，在於山林，坐禪行道，乞食處遠，妨廢
T04n0200_p0247a23_##行道，甚用疲勞。時彼眾中，有一比丘，白眾
T04n0200_p0247a24_##僧言：『我為汝等！勸化檀越，供給眾僧，[09]使
T04n0200_p0247a25_##無有乏。汝等但當[10]安心行道，[11]不足為
T04n0200_p0247a26_##慮。』時諸比丘，聞是語已，各共用心，行道三
T04n0200_p0247a27_##月，皆[12]獲道果。由是功德，在所生處，常有
T04n0200_p0247a28_##種種百味飲食，應念即得；乃至今者，遭值
T04n0200_p0247a29_##於我，應念即至，供養大眾，[13]使無有乏。」
T04n0200_p0247b01_##<p>[＊]爾時阿難，復白佛言：「以何因緣，今得化
T04n0200_p0247b02_##生？」佛告阿難：「[14]此賢劫中，迦葉佛時，有一商
T04n0200_p0247b03_##主，將諸商客，涉歷他邦，販賣求利。其婦懷
T04n0200_p0247b04_##[＊]妊，於其[15]中路，值產甚難，求死不得。時彼
T04n0200_p0247b05_##商主，心生厭惡，捨之而去，出家入道，發大
T04n0200_p0247b06_##誓願：『持此出家善根功德，使我來世所生之
T04n0200_p0247b07_##處，莫受胞胎，常得化生。』是故今者，得是
T04n0200_p0247b08_##報耳。」佛告阿難：「欲知彼時商主者，今化生
T04n0200_p0247b09_##比丘是。」<p>[＊]爾時諸比丘，[＊]聞佛所說，歡喜奉
T04n0200_p0247b10_##行。
T04n0200_p0247b11Q##（八七）◎[16]眾寶莊嚴[17]緣
T04n0200_p0247b12P##[＊]佛在迦毘羅衛國[18]尼拘陀樹下。時彼城中，
T04n0200_p0247b13_##有一長者，財寶無量，[19]不可稱計，無有子
T04n0200_p0247b14_##息，祠祀神祇，求索有子。精誠感應，足滿十
T04n0200_p0247b15_##月，生一男兒，端[＊]政殊[＊]妙，世所希有；家中
T04n0200_p0247b16_##自然有一泉水從地涌出，有諸珍寶充滿
T04n0200_p0247b17_##其中，[20]復有花樹，天衣上服，懸之樹枝。時彼
T04n0200_p0247b18_##長者，見其如是，[21]喜不自勝，召諸相師，占
T04n0200_p0247b19_##相此兒。相師[者*見]已，問其父母：「此兒生時，有
T04n0200_p0247b20_##何瑞相？」父母答言：「此兒生時，家中自然有一
T04n0200_p0247b21_##泉水從地涌出，有諸珍寶，充滿其中，及以
T04n0200_p0247b22_##樹上，有好天衣。」因為立字，名[＊]眾寶莊嚴。
T04n0200_p0247b23_##年漸長大，[22]稟性賢柔，慈心孝順。將諸親友
T04n0200_p0247b24_##出城[23]觀看，漸次遊行，到尼拘陀樹下，見佛
T04n0200_p0247b25_##世尊，[＊]三十二相、八十種好，光明[＊]普曜，如
T04n0200_p0247b26_##百千日，心懷歡喜，前禮佛足，[去*ㄗ][24]坐一面，聽
T04n0200_p0247b27_##佛說法，心開意解，得須陀洹果。歸[25]白父
T04n0200_p0247b28_##母，求索入道。父母愛念，不能違逆，將詣佛
T04n0200_p0247b29_##所，求索出家。[26]佛即告言：「善來比丘！」鬚髮自
T04n0200_p0247c01_##落，法服著身，便成沙門。精懃修習，得[＊]阿
T04n0200_p0247c02_##羅漢果，[27]三明六通，具八解脫，諸天世人，所
T04n0200_p0247c03_##見敬仰。<p>時諸比丘，[＊]見是事[28]已，前白佛言：
T04n0200_p0247c04_##「今此眾寶莊嚴比丘，宿造何福，生便有是奇
T04n0200_p0247c05_##特之事，[29]出家未[30]久，復獲道果？」[＊]爾時世尊，
T04n0200_p0247c06_##告諸比丘：「[＊]汝等諦聽！吾當為汝分別解說。
T04n0200_p0247c07_##乃往過去無量世時，波羅[＊][木*奈]國有佛出世，
T04n0200_p0247c08_##號[31]迦孫陀，化緣周訖，遷神涅槃。時彼國王，
T04n0200_p0247c09_##名梵摩達多，收取舍利，造四寶塔，[32]高一由
